"","q3_increasewhenopen_specify","q6_radio_pp_yes","q6_radio_p_yes","q6_radio_ls_yes","q6_radio_us_yes","q6_tv_pp_yes","q6_tv_p_yes","q6_tv_ls_yes","q6_tv_us_yes","q7_radio_yes_pp","q7_tv_yes_pp","q7_online_yes_pp","q7_paper_yes_pp","q7_radio_yes_p","q7_tv_yes_p","q7_online_yes_p","q7_paper_yes_p","q7_radio_yes_ls","q7_tv_yes_ls","q7_online_yes_ls","q7_paper_yes_ls","q7_radio_yes_us","q7_tv_yes_us","q7_online_yes_us","q7_paper_yes_us"
"68",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"69",4,5,7,7,6,40,40,40,40,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"70",4,5,7,7,6,3,4,8,10,0,10,10,5,0,50,20,5,0,50,65,5,0,20,20,5
"71",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,0,100,0,0,0,100,0,0,0,100,0
"72",4,5,7,7,6,5,3,3,3,0,32.5,50,5,0,50,50,5,0,35,50,7.5,0,27.5,45,7.5
"73",4,5,7,7,6,5,8,10,10,0,32.5,14,5,0,50,53,5,0,35,16,7.5,0,27.5,15,7.5
"74",3,1,15,10,10,1,15,10,10,15,80,50,5,15,80,76,5,15,80,80.5,5,15,80,85,5
"75",4,5,7,7,6,10,10,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"76",4,7,7,14,21,7,8,22,18,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"77",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,100,100,5,0,100,100,7.5,0,100,100,7.5
"78",4,5,7,7,6,5,5,5,5,0,95,50,0,0,95,80,0,0,95,85,0,0,95,90,0
"79",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"80",6,9,9,7,6,5,8,5,5,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"81",4,5,7,7,6,5,6,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"82",4,5,11,11,11,11,11,11,11,0,32.5,50,5,20,0,20,0,0,18,0,0,0,18,0,0
"83",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"84",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"85",6,5,7,7,6,14,14,10,10,0,30,95,0,0,30,95,0,0,30,98,0,0,36,99,0
"86",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"87",4,5,7,7,6,5,8,10,10,0,0,100,5,0,0,100,0,0,0,100,0,0,0,100,0
"88",4,5,7,7,6,5,1,2,3,0,32.5,50,5,0,50,76,98,0,35,80.5,98,0,27.5,85,98
"89",8,5,7,7,6,5,8,10,4,0,32.5,50,5,0,5,90,5,0,10,90,7.5,0,10,90,7.5
"90",4,5,5,7,6,5,3,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"92",4,5,36,7,6,5,8,42,42,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"93",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"94",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"95",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,0,85,0
"96",4,5,7,7,6,5,22,22,22,0,32.5,50,5,0,85,85,5,0,85,85,7.5,0,85,85,7.5
"97",4,0,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"98",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"99",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"100",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"101",6,5,7,7,6,7,7,10,20,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"102",2,1,1,1,1,1,1,1,1,5,5,50,5,5,5,76,5,5,5,80.5,7.5,0,5,85,7.5
"103",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"104",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"105",2,6,7,12,12,6,12,12,12,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"106",4,5,5,5,5,5,5,5,5,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"107",8,5,25,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"108",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,70,30,0,27.5,80,20
"109",4,10,20,7,6,10,20,15,15,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"110",6,1,3,3,0,1,3,3,0,70,3,0,35,70,3,1,75,70,3,1,75,0,0,2,75
"111",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"112",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"113",4,5,7,2,2,5,8,2,2,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"114",1,5,7,7,6,5,7,7,7,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"115",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"116",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
